key,"en","de","fr","es"
STR_AREA_MAP,"AREA MAP","GEBIETSKARTE","CARTE DE ZONE","MAPA DEL ÁREA"
STR_BACK,"back","ZURÜCK","RETOUR","VOLVER"
STR_BINOCULARS_DISTANCE,"Distance: ","Entfernung: ","Distance: ","Distancia: "
STR_BINOCULARS_WEIGHT,"Weight: ","Gewicht: ","Poids: ","Peso: "
STR_BLOOD_TRAILS,"BLOOD TRAILS","BLUTSPUREN","TRACES DE SANG","RASTROS DE SANGRE"
STR_BRIGHTNESS,"Brightness","Helligkeit","Luminosité","Brillo"
STR_UPGRADE,"upgrade","Jetzt kaufen!","Achète-le !","¡Consíguelo!"
STR_BUY_FULL_VERSION,"BUY FULL GAME TO GET ENDLESS SURVIVE!","DER ÜBERLEBENSMODUS IN DER\nVOLLVERSION IST UNBEGRENZT!","ACHÈTE LE JEU COMPLET POUR\nACCÉDER À LA SURVIE INFINIE!","¡COMPRA EL JUEGO COMPLETO PARA\nOBTENER SUPERVIVENCIA ILIMITADA!"
STR_CAMOUFLAGE_FULL,"CAMOUFLAGE","TARNUNG","CAMOUFLAGE","CAMUFLAJE"
STR_CANCEL,"Cancel","Zurück","Annuler","Cancelar"
STR_COVER_SCENT_FULL,"COVER SCENT","TARNGERUCH","COUVRE-ODEUR","MATA ESENCIA"
STR_CREDITS_ANDROID,"#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Creative Director: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProducer: Ivan Pogodichev\nProgramming: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Dementiev,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nArtwork: Michael Korshunov\nSound: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nExecutive Director: Igor Karev\n\n#5Action Forms\n#0Programming: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nArtwork: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSound: Alexey Menshikov\nBiz: Igor Karev\n\n#5Special Thanks\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAll rights reserved.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAll rights reserved.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Kreativdirektor: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProduzent: Ivan Pogodichev\nProgrammierung: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nSpieledesign: Andrey Tykhonchuk,\nDmitry Nechay\nIllustrationen: Michael Korshunov\nTon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nVerantwortlicher Direktor: Igor Karev\n\n#5Action Forms\n#0Programmierung: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIllustrationen: Yaroslav Kravchenko,\nAlexey Sergiy\nSpieledesign: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nTon: Alexey Menshikov\nBusiness: Igor Karev\n\n#5Besonderer Dank an\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAlle Rechte vorbehalten.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAlle Rechte vorbehalten.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Directeur de création: Yaroslav Kravchenko\nDirecteur artistique: Andrey Tykhonchuk\nProducteur: Ivan Pogodichev\nProgrammation: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nGraphismes: Michael Korshunov\nSon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRelations presse: Olga Voitenko\nDirecteur exécutif: Igor Karev\n\n#5Action Forms\n#0Programmation: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nGraphismes: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSon: Alexey Menshikov\nBiz: Igor Karev\n\n#5Remerciements à\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nTous droits réservés.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTous droits réservés.\n\nMoteur audio:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Director creativo: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProductor: Ivan Pogodichev\nProgramación: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nDiseño del juego: Andrey Tykhonchuk,\nDmitry Nechay\nIlustraciones: Michael Korshunov\nSonido: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRP: Olga Voitenko\nDirector ejecutivo: Igor Karev\n\n#5Action Forms\n#0Programación: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIlustraciones: Yaroslav Kravchenko,\nAlexey Sergiy\nDiseño del juego: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSonido: Alexey Menshikov\nBiz: Igor Karev\n\n#5Agradecimiento especial para\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'La saga de Carnívoros'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\niLand.ua\n\nCopyrights 2018, Tatem Games.\nTodos los derechos reservados.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTodos los derechos reservados.\n\nMotor de audio:\nFMOD Sound System by Firelight Technologies."
STR_CREDITS_FULL,"#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Creative Director: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProducer: Ivan Pogodichev\nProgramming: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Dementiev,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nArtwork: Michael Korshunov\nSound: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nExecutive Director: Igor Karev\n\n#5Action Forms\n#0Programming: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nArtwork: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSound: Alexey Menshikov\nBiz: Igor Karev\n\n#5Special Thanks\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAll rights reserved.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAll rights reserved.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Kreativdirektor: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProduzent: Ivan Pogodichev\nProgrammierung: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nSpieledesign: Andrey Tykhonchuk,\nDmitry Nechay\nIllustrationen: Michael Korshunov\nTon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nVerantwortlicher Direktor: Igor Karev\n\n#5Action Forms\n#0Programmierung: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIllustrationen: Yaroslav Kravchenko,\nAlexey Sergiy\nSpieledesign: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nTon: Alexey Menshikov\nBusiness: Igor Karev\n\n#5Besonderer Dank an\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAlle Rechte vorbehalten.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAlle Rechte vorbehalten.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Directeur de création: Yaroslav Kravchenko\nDirecteur artistique: Andrey Tykhonchuk\nProducteur: Ivan Pogodichev\nProgrammation: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nGraphismes: Michael Korshunov\nSon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRelations presse: Olga Voitenko\nDirecteur exécutif: Igor Karev\n\n#5Action Forms\n#0Programmation: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nGraphismes: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSon: Alexey Menshikov\nBiz: Igor Karev\n\n#5Remerciements à\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nTous droits réservés.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTous droits réservés.\n\nMoteur audio:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version} PRO\n\n#5Tatem Games\n#0Director creativo: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProductor: Ivan Pogodichev\nProgramación: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nDiseño del juego: Andrey Tykhonchuk,\nDmitry Nechay\nIlustraciones: Michael Korshunov\nSonido: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRP: Olga Voitenko\nDirector ejecutivo: Igor Karev\n\n#5Action Forms\n#0Programación: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIlustraciones: Yaroslav Kravchenko,\nAlexey Sergiy\nDiseño del juego: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSonido: Alexey Menshikov\nBiz: Igor Karev\n\n#5Agradecimiento especial para\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'La saga de Carnívoros'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\niLand.ua\n\nCopyrights 2018, Tatem Games.\nTodos los derechos reservados.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTodos los derechos reservados.\n\nMotor de audio:\nFMOD Sound System by Firelight Technologies."
STR_CREDITS_LITE,"#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Creative Director: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProducer: Ivan Pogodichev\nProgramming: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Dementiev,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nArtwork: Michael Korshunov\nSound: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nExecutive Director: Igor Karev\n\n#5Action Forms\n#0Programming: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nArtwork: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSound: Alexey Menshikov\nBiz: Igor Karev\n\n#5Special Thanks\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAll rights reserved.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAll rights reserved.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Kreativdirektor: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProduzent: Ivan Pogodichev\nProgrammierung: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nSpieledesign: Andrey Tykhonchuk,\nDmitry Nechay\nIllustrationen: Michael Korshunov\nTon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nPR: Olga Voitenko\nVerantwortlicher Direktor: Igor Karev\n\n#5Action Forms\n#0Programmierung: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIllustrationen: Yaroslav Kravchenko,\nAlexey Sergiy\nSpieledesign: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nTon: Alexey Menshikov\nBusiness: Igor Karev\n\n#5Besonderer Dank an\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nAlle Rechte vorbehalten.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nAlle Rechte vorbehalten.\n\nAudio engine:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Directeur de création: Yaroslav Kravchenko\nDirecteur artistique: Andrey Tykhonchuk\nProducteur: Ivan Pogodichev\nProgrammation: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nGame design: Andrey Tykhonchuk,\nDmitry Nechay\nGraphismes: Michael Korshunov\nSon: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRelations presse: Olga Voitenko\nDirecteur exécutif: Igor Karev\n\n#5Action Forms\n#0Programmation: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nGraphismes: Yaroslav Kravchenko,\nAlexey Sergiy\nGame design: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSon: Alexey Menshikov\nBiz: Igor Karev\n\n#5Remerciements à\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'The Carnivores Saga'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\n\nCopyrights 2018, Tatem Games.\nTous droits réservés.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTous droits réservés.\n\nMoteur audio:\nFMOD Sound System by Firelight Technologies.","#5Carnivores: Dinosaur Hunter\n#0ver.: ${version}\n\n#5Tatem Games\n#0Director creativo: Yaroslav Kravchenko\nArt Director: Andrey Tykhonchuk\nProductor: Ivan Pogodichev\nProgramación: Dmitry Nechay,\nAnton Breusov,\nDmitry Ivanov,\nIgor Leontiev,\nMichael Beloded,\nConstantine Ivanov,\nEkaterina Zakharova\nDiseño del juego: Andrey Tykhonchuk,\nDmitry Nechay\nIlustraciones: Michael Korshunov\nSonido: Ivan Pogodichev\nQA: Vitaliy Litvinchuk,\nKate Lisnevskaya,\nDmitry Argirov\nRP: Olga Voitenko\nDirector ejecutivo: Igor Karev\n\n#5Action Forms\n#0Programación: Oleg Slusar,\nArtem Kuravchenko,\nAlexey Menshikov\nIlustraciones: Yaroslav Kravchenko,\nAlexey Sergiy\nDiseño del juego: Andrey Sharanevich,\nAlexander Tugaenko,\nDenis Vereschagin\nSonido: Alexey Menshikov\nBiz: Igor Karev\n\n#5Agradecimiento especial para\n#0Garrett Howard (a.k.a. Saurian Target)\nES localization: Magnathrax\n'La saga de Carnívoros'\nKerem Beyit\nZachary Murphy King\nLauren Karubian\niLand.ua\n\nCopyrights 2018, Tatem Games.\nTodos los derechos reservados.\nwww.tatemgames.com\n\nCopyrights 2018, Action Forms Ltd.\nTodos los derechos reservados.\n\nMotor de audio:\nFMOD Sound System by Firelight Technologies."
STR_DAILYOFFER_TEXT,"You received\n free daily reward!\nCome back tomorrow\nto get more!","Sie erhalten\n kostenlose\ntägliche Belohnung!\nKomm morgen wieder,\num mehr zu bekommen!","Vous avez reçu\n gratuitement\n récompense tous les jours!\nReviens demain pour\nen avoir plus!","Usted recibió\n recompensa\n diaria gratuita.\nVuelve mañana para\nobtener más!"
